excname	exc_id	iab_id
rtb	915	703
rtb	1551	790
rtb	277	100
rtb	916	334
rtb	911	330
rtb	1526	715
rtb	907	715
rtb	276	105
rtb	457	237
rtb	626	237
rtb	1556	792
rtb	1501	698
rtb	1571	698
rtb	1557	797
rtb	1552	793
rtb	1560	800
rtb	457	240
rtb	825	529
rtb	405	219
rtb	65	62
rtb	24	335
rtb	5	335
rtb	285	93
rtb	285	336
rtb	688	342
rtb	920	63
rtb	937	63
rtb	285	337
rtb	39	69
rtb	921	98
rtb	123	343
rtb	64	57
rtb	316	104
rtb	1397	600
rtb	1177	344
rtb	400	412
rtb	1177	345
rtb	1325	328
rtb	1024	346
rtb	285	338
rtb	1592	50
rtb	1230	451
rtb	1167	444
rtb	439	270
rtb	1182	531
rtb	622	233
rtb	676	247
rtb	284	89
rtb	64	61
rtb	41	40
rtb	926	40
rtb	105	40
rtb	11	10
rtb	271	130
rtb	977	186
rtb	324	186
rtb	82	80
rtb	269	112
rtb	158	107
rtb	1157	501
rtb	137	114
rtb	269	111
rtb	158	106
rtb	19	17
rtb	396	17
rtb	555	347
rtb	75	77
rtb	396	263
rtb	1201	651
rtb	16	13
rtb	1209	699
rtb	16	74
rtb	572	365
rtb	7	5
rtb	107	96
rtb	279	193
rtb	1163	546
rtb	903	362
rtb	1453	794
rtb	38	33
rtb	107	97
rtb	1454	795
rtb	107	798
rtb	619	363
rtb	1457	796
rtb	1283	625
rtb	14	16
rtb	1135	580
rtb	1261	603
rtb	113	291
rtb	1133	582
rtb	298	284
rtb	1132	565
rtb	293	192
rtb	56	60
rtb	174	171
rtb	448	248
rtb	440	203
rtb	505	241
rtb	443	239
rtb	449	264
rtb	444	214
rtb	435	198
rtb	509	410
rtb	1084	410
rtb	440	204
rtb	1254	81
rtb	63	81
rtb	66	65
rtb	887	560
rtb	884	561
rtb	885	562
rtb	886	563
rtb	607	380
rtb	888	380
rtb	890	570
rtb	380	189
rtb	20	23
rtb	1595	725
rtb	259	170
rtb	458	249
rtb	241	246
rtb	515	351
